a0_lob_1,crx_lob_1,a0_lob_2,crx_lob_2,a0_lob_4,crx_lob_4,a0_lob_6,crx_lob_6,a0_lob_10,crx_lob_10
0.00E+00,0.001,0.00E+00,0.001,0.00E+00,0.001,0.00E+00,0.001,0.00E+00,0.001
0.31965986,0.06709275,0.28499934,0.09323034,0.1506152,0.06842338,0.16687113,0.09459797,0.18311255,0.13094696
0.5517331,0.14138928,0.51298267,0.1791518,0.29921034,0.1252174,0.36429211,0.18921815,0.33981076,0.21827011
0.7186498,0.20401056,0.72466856,0.2679684,0.52716666,0.23003417,0.54951185,0.27074808,0.5738916,0.31291693
0.92018145,0.27247095,0.964878,0.34953827,0.65132815,0.28244996,0.73881733,0.34356004,0.83039016,0.39740562
1.1502284,0.33949855,1.2376989,0.41369,0.8508273,0.3480019,0.90981776,0.39891684,1.0726612,0.46153516
1.3762186,0.39489534,1.5308968,0.4705891,1.078852,0.40485364,1.0828776,0.43828678,1.2905152,0.5096586
1.6266612,0.44158894,1.789488,0.51583517,1.3272496,0.45735973,1.2539134,0.46893433,1.563363,0.554915
2,0.5072652,2,0.5523233,1.5756596,0.5011449,1.5023214,0.514173,1.7934473,0.59577984
,,,,1.8159271,0.54201716,1.7039027,0.5477497,2,0.6308101
,,,,2,0.5813915,1.8810463,0.57985514,,
,,,,,,2,0.6017433,,