a0_lob_1,cry_lob_1,a0_lob_2,cry_lob_2,a0_lob_4,cry_lob_4,a0_lob_6,cry_lob_6,a0_lob_10,cry_lob_10,a0_lob_1000,cry_lob_1000
0,-0.002241005,0,0.005605375,0,0.008969745,0,0.0224215,0,0.02017935,0,1
0.27773407,0.053967334,0.23058672,0.14026377,0.107918896,0.19064343,0.044561904,0.20518191,0.0340344,0.37333742,2,1
0.66769195,0.18086752,0.4795011,0.31192794,0.14243115,0.3072547,0.10336985,0.4395198,0.08669278,0.6188826,,
0.9963545,0.31221765,0.7121307,0.45219284,0.19728267,0.47208363,0.1643125,0.6245315,0.15784158,0.80838436,,
1.3965435,0.43015498,0.88358814,0.5307643,0.26654717,0.5763825,0.20299402,0.69630206,0.20063812,0.86446214,,
1.6538486,0.48411086,1.102026,0.6127253,0.37056807,0.6661269,0.2641349,0.7748117,0.26592532,0.91046286,,
2,0.5493256,1.3796933,0.70256704,0.48078445,0.7200004,0.32939082,0.8376285,0.3516436,0.955354,,
,,1.675778,0.77560294,0.61756057,0.7727676,0.45591283,0.9116904,0.46395087,0.9834438,,
,,2,0.8385618,0.7196638,0.79524636,0.5641176,0.9487466,0.5640341,0.9935896,,
,,,,0.9524958,0.826767,0.6478535,0.9611254,0.70293456,1,,
,,,,1.344626,0.8841617,0.9195507,0.96576196,2,1,,
,,,,1.344626,0.8841617,1.2320892,0.9793901,,,,
,,,,1.6897902,0.9303193,1.5425785,0.99638027,,,,
,,,,2,0.9798195,2,1,,,,