a0_lob_1,cz_lob_1,a0_lob_2,cz_lob_2,a0_lob_4,cz_lob_4,a0_lob_6,cz_lob_6,a0_lob_10,cz_lob_10,a0_lob_1000,cz_lob_1000
0.004164498,0.91778344,0.004164498,0.9715994,0.004164498,1.1091138,0.004164498,1.4857997,0.004164498,1.7727909,0.004164498,2.002981
0.8498032,0.9464148,0.83255804,0.99726284,0.78650284,1.0840284,0.15192504,1.3301195,0.10606143,1.5544038,0.060376886,1.9072381
1.588656,0.9722163,1.6753025,1.0199195,1.4387007,1.0561477,0.4085747,1.1832483,0.2645289,1.3658257,0.12939094,1.7277623
2.0013952,1.0014948,2.001445,1.0373693,2.0043645,1.0612812,0.6999521,1.1050845,0.42888078,1.2579565,0.27337012,1.4973524
,,,,,,0.9625403,1.0777862,0.6394503,1.1799136,0.36559293,1.4045386
,,,,,,1.4358188,1.0591415,0.9424175,1.1346176,0.4636127,1.3296536
,,,,,,2.0043645,1.0612812,1.2396419,1.1102569,0.62511194,1.245705
,,,,,,,,1.5917126,1.094783,0.8155169,1.1945981
,,,,,,,,2,1.0881957,1.0434607,1.1583829
,,,,,,,,,,1.3464528,1.1310241
,,,,,,,,,,1.6379219,1.1186303
,,,,,,,,,,2.0015533,1.1150972