a0_lob_1,ky_lob_1,a0_lob_2,ky_lob_2,a0_lob_4,ky_lob_4,a0_lob_6,ky_lob_6,a0_lob_10,ky_lob_10,a0_lob_1000,ky_lob_1000
0.00E+00,1,0.00E+00,1,0.00E+00,1,0.00E+00,1,0.00,1,0.00,1
0.30439728,1.0452667,0.38342372,1.086656,0.3010937,1.1338638,0.28876898,1.1844577,0.25213772,1.2191519,0.17312054,1.1745981
0.55407006,1.0270694,0.73957556,1.0909476,0.7270006,1.2269838,0.5654681,1.2929282,0.5802809,1.4322156,0.31263074,1.3522546
0.7885501,0.99933046,1.0774813,1.0888524,0.99782467,1.2626508,0.8301205,1.3570569,0.74141496,1.5023457,0.46439153,1.5046335
1.059578,0.96537805,1.430626,1.0804763,1.1895573,1.2790804,1.0948378,1.3990338,0.9087207,1.5440143,0.57071304,1.5809194
1.3336407,0.93459976,1.7380813,1.0814493,1.454395,1.2799186,1.3778753,1.4220814,1.094356,1.5635892,0.68621325,1.6414114
1.6472583,0.9102758,2,1.0917231,1.8167,1.2620777,1.7035953,1.4231122,1.4839652,1.5774803,0.8413239,1.6893706
2,0.889203,,,2,1.2626171,2,1.4208531,2,1.5727408,1.0025692,1.7215265
,,,,,,,,,,1.6692111,1.7299652
,,,,,,,,,,2,1.7246476