a0_lob_1,kz_lob_1,a0_lob_6,kz_lob_6,a0_lob_1000,kz_lob_1000
0,1,0,1,0,1
0.28077817,1.0089214,0.31806877,1.0430653,0.16054727,1.1934097
0.53950125,0.96383435,0.53673506,1.0433758,0.28579503,1.2617694
0.9049797,0.84787625,0.7181641,0.966929,0.42711392,1.2733338
1.2278236,0.7062894,0.9237139,0.7939256,0.5471777,1.222368
1.5186818,0.55329347,1.1720904,0.49314207,0.6566282,1.1287735
1.7695507,0.391718,1.310995,0.30299848,0.78747946,0.98123205
2,0.23010847,1.4472756,0.07876027,0.90506864,0.7768536
,,1.629021,-0.250527,1.0654808,0.44753608
,,1.8402171,-0.6735224,1.1885241,0.14657453
,,,,1.306291,-0.19984905
,,,,1.453601,-0.7138443